date,production_kwh,import_kwh,export_kwh,consumption_kwh,import_simulated_kwh,export_simulated_kwh,daily_savings_pln
2026-05-07,24.84,3.39,16.1,24.75,0.0,0.0,1.14
2026-05-08,32.2,6.27,18.18,31.59,0.0,0.0,1.05
2026-05-09,74.17,5.81,6.21,75.7,0.0,0.0,6.74
2026-05-10,64.72,3.85,30.89,67.33,0.02,26.12,3.23
2026-05-11,25.12,5.09,14.06,24.21,0.0,9.92,6.1
2026-05-12,17.4,4.69,11.75,20.24,0.01,6.13,4.04
2026-05-13,45.67,4.75,25.6,24.62,0.0,86.24,5.76
2026-05-14,46.84,6.45,21.71,56.67,0.12,31.93,11.97
2026-05-15,37.0,5.73,18.55,47.69,0.01,13.23,17.14
2026-05-16,14.41,11.0,0.41,24.55,0.57,10.44,11.42
2026-05-17,15.0,8.56,6.15,20.56,0.8,13.44,11.89
2026-05-18,12.81,5.51,8.93,9.65,0.0,3.98,5.93
2026-05-19,58.47,3.61,32.52,30.7,0.02,29.04,4.68
2026-05-20,60.15,1.74,35.26,29.07,0.0,31.75,1.54
2026-05-21,55.45,6.6,29.97,31.29,0.0,97.58,7.77
2026-05-22,43.23,6.41,20.4,59.32,4.42,10.09,9.88
2026-05-23,48.11,11.06,17.07,39.32,0.89,6.47,7.23
2026-05-24,56.84,2.46,32.01,28.94,0.0,28.66,2.74
2026-05-25,65.24,5.94,34.31,36.87,0.0,28.8,6.39
2026-05-26,64.65,9.21,34.58,71.63,0.01,25.92,5.95
2026-05-27,62.45,3.36,34.22,31.43,0.0,156.71,4.39
2026-05-28,47.97,5.99,58.16,64.82,0.03,53.04,9.74
2026-05-29,66.44,3.98,36.07,66.03,0.0,32.47,5.48
2026-05-30,25.04,1.18,11.26,26.03,0.0,10.29,1.16
2026-05-31,31.8,5.28,17.73,30.88,0.0,12.86,5.94
2026-06-01,16.3,3.45,11.81,17.52,1.2,10.17,2.56
2026-06-02,61.64,3.94,35.28,62.04,0.0,32.75,4.46
2026-06-03,35.63,3.93,20.15,20.43,0.01,16.04,4.95
2026-06-04,24.74,0.37,11.94,27.83,0.0,11.23,0.36
2026-06-05,24.49,0.0,18.81,9.31,0.0,18.41,0.0
2026-06-06,59.23,0.0,37.03,25.48,0.0,37.0,0.0
2026-06-07,42.83,3.24,26.29,20.98,0.01,21.3,2.61
2026-06-08,48.6,5.25,26.47,27.52,0.0,21.82,5.65
2026-06-09,34.12,7.63,18.77,22.33,0.0,25.49,8.64
2026-06-10,6.41,7.21,4.8,8.28,11.96,0.0,3.99
2026-06-11,14.95,4.42,11.22,9.31,0.0,8.39,19.35
2026-06-12,45.29,6.42,22.2,29.59,0.0,16.37,6.53
2026-06-13,50.34,5.9,28.29,28.33,0.0,23.07,6.33
2026-06-14,43.24,6.76,14.94,35.29,0.0,8.82,7.21
2026-06-15,33.57,6.29,17.9,21.98,0.0,12.55,6.68
2026-06-16,57.77,5.04,28.13,35.35,5.11,23.89,5.01
2026-06-17,61.64,8.76,33.51,36.19,0.0,25.38,5.68
2026-06-18,36.98,4.1,19.2,21.99,0.0,12.43,4.6
2026-06-19,48.4,3.35,26.43,26.52,0.0,24.23,4.42
2026-06-20,51.95,0.61,31.21,24.24,0.03,29.95,0.57
2026-06-21,34.09,1.82,19.56,17.71,0.0,16.99,1.22
2026-06-22,21.69,6.44,12.2,15.92,0.01,6.25,6.85
2026-06-23,53.95,4.2,25.97,32.34,0.0,22.95,5.44
2026-06-24,61.09,0.0,30.59,30.81,0.0,30.53,0.0
2026-06-25,60.29,0.0,30.19,30.44,0.0,90.6,0.0
